Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"11,5 tỷ",38 m,Đường Hoàng Sa, Phường 11, Quận 3, Hồ Chí Minh,_,Y,Cần bán,12m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"4,5m",2,Y,10m,4,---
"2,45 tỷ",100 m,Đường Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,22m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"3,2 tỷ",90 m,Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,Giấy tờ hợp lệ,---,5m,2,Y,18m,4,---
"1,95 tỷ",48 m,Đường Phạm Thế Hiển, Phường 5, Quận 8, Hồ Chí Minh,_,Y,Cần bán,5m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,4m,1,---,12m,2,---
"2,8 tỷ",72 m,Đường Bàu Cát 2, Phường 14, Quận Tân Bình, Hồ Chí Minh,_,Y,Cần bán,5m,Y,Nhà mặt tiền,Giấy tờ hợp lệ,---,4m,1,Y,18m,3,---
25 tỷ,222 m,Đường Xô Viết Nghệ Tĩnh, Phường 19, Quận Bình Thạnh, Hồ Chí Minh,_,---,Cần bán,30m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,9m,1,---,23m,1,---
"6,99 tỷ",68 m,Đường Cây Trâm, Phường 11, Quận Gò Vấp, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,17m,5,---
"3,8 tỷ",75 m,Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh,_,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,15m,3,---
"23,7 tỷ",100 m,Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Hồ Chí Minh,_,---,Cần bán,8m,---,Nhà trong hẻm,---,---,---,3,---,---,5,---
"1,85 tỷ",65 m,Đường A2, Xã Phong Phú, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,40m,---,Nhà mặt tiền,---,---,---,1,---,---,---,---
4 tỷ,75 m,Đường Hồ Bá Kiện, Phường 15, Quận 10, Hồ Chí Minh,_,Y,Cần bán,"4,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,7m",2,Y,16m,4,---
"12,2 tỷ",72 m,Đường Phạm Hùng, Phường 5, Quận 8, Hồ Chí Minh,Đông Nam,Y,Cần bán,8m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,18m,5,---
"5,58 tỷ",61 m,Đường Trần Bình Trọng, Phường 11, Quận Bình Thạnh, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,3,---,"12,2m",4,---
"3,15 tỷ",72 m,Đường Lê Quang Định, Phường 11, Quận Bình Thạnh, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà mặt tiền,Giấy tờ hợp lệ,---,4m,2,---,18m,4,---
"1,15 tỷ",530 m,Đường Nguyễn Thị Rành, Xã Nhuận Đức, Huyện Củ Chi, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất nông, lâm nghiệp",---,---,15m,---,---,36m,---,---
30 tỷ,375 m,Đường Phạm Huy Thông, Phường 7, Quận Gò Vấp, Hồ Chí Minh,_,---,Cần bán,40m,---,Nhà mặt tiền,---,---,15m,1,---,25m,1,---
"4,8 tỷ",162 m,Đường số 34, Phường Bình An, Quận 2, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,Giấy tờ hợp lệ,---,9m,1,Y,18m,4,---
"45,5 tỷ",408 m,Đường Phan Văn Trị, Phường 7, Quận Gò Vấp, Hồ Chí Minh,_,---,Cần bán,30m,---,Nhà mặt tiền,---,---,12m,1,---,34m,1,---
"3,25 tỷ",80 m,Đường Bàn Cờ, Phường 3, Quận 3, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,---,Y,5m,2,Y,16m,4,---
"6,4 tỷ",70 m,Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,---,4,Y,---,5,---
"3,25 tỷ",90 m,Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh,_,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,18m,4,---
"2,52 tỷ",56 m,Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Hồ Chí Minh,_,Y,Cần bán,5m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,4m,3,---,14m,4,---
"3,15 tỷ",80 m,Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,---,Y,5m,2,Y,16m,4,---
"8,1 tỷ",58 m,Đường D3, Phường 25, Quận Bình Thạnh, Hồ Chí Minh,_,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,3m",3,---,"13,48m",5,---
"7,8 tỷ",60 m,Đường An Phú, Phường Bình An, Quận 2, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,5m",3,---,"13,3m",4,---
"1,8 tỷ",105 m,Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Hồ Chí Minh,_,---,Cần bán,24m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,---,---,---
"6,8 tỷ",59 m,Đường Vườn Chuối, Phường 4, Quận 3, Hồ Chí Minh,_,Y,Cần bán,"4,5m",Y,Nhà mặt tiền,---,Y,"4,6m",3,Y,"12,8m",5,---
"2,35 tỷ",56 m,Đường Bùi Minh Trực, Phường 5, Quận 8, Hồ Chí Minh,_,---,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,1,---,14m,2,---
400 triệu,100 m,Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất nền, liền kề, đất dự án",---,---,---,---,---,---,---,---
"3,35 tỷ",80 m,Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,---,Y,4m,2,Y,20m,4,---
"3,25 tỷ",90 m,Đường Nguyễn Duy Dương, Phường 4, Quận 10, Hồ Chí Minh,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,3,---,18m,4,---
"13,5 tỷ",50 m,Đường Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, Hồ Chí Minh,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,4,---,10m,4,---
"1,3 tỷ",100 m,Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh,_,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"9,8 tỷ",40 m,Đường Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,10m,4,---
"9,8 tỷ",61 m,Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"4,9m",3,Y,"12,4m",5,---
"3,05 tỷ",40 m,Đường Nguyễn Súy, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh,_,---,Cần bán,4m,---,Nhà trong hẻm,---,---,4m,1,---,10m,2,---
"3,25 tỷ",90 m,Đường Lê Vĩnh Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh,_,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,18m,4,---
"1,95 tỷ",108 m,Đường Lương Định Của, Phường An Phú, Quận 2, Hồ Chí Minh,_,---,Cần bán,32m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,6m,---,---,18m,---,---
"7,5 tỷ",41 m,Đường Trường Chinh, Phường 14, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,"4,4m",3,---,9m,4,---
64 tỷ,270 m,Đường Hồ Biểu Chánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh,_,---,Cần bán,12m,---,"Biệt thự, nhà liền kề",---,---,8m,4,---,36m,8,---
"11,5 tỷ",60 m,Đường Phan Xích Long, Phường 4, Quận Phú Nhuận, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,---,3,---,---,4,---
"5,9 tỷ",52 m,Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,14m,4,---
580 triệu,75 m,Đường Liên ấp 2 - 6, Xã Vĩnh Lộc A, Huyện Bình Chánh, Hồ Chí Minh,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,1,---,15m,2,---
"1,4 tỷ",80 m,Đường Nguyễn Cửu Phú, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh,_,---,Cần bán,24m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,Y,16m,---,---
6 tỷ,54 m,Đường số 16, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,Tây Bắc,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,3,---,13m,3,---
"1,15 tỷ",90 m,Đường Dây Thép, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,20m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,18m,3,---
980 triệu,80 m,Đường Nguyễn Duy Phương, Xã Tân Kiên, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,16m,---,---
"19,7 tỷ",144 m,Đường Vườn Lài, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh,_,---,Cần bán,7m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,6m,4,---,24m,34,---
14 tỷ,134 m,Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,---,3,---,---,4,---
"3,55 tỷ",40 m,Đường Hiền Vương, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,---,2,---,10m,2,---
"1,449 tỷ",100 m,Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,Y,20m,---,---
"10,3 tỷ",60 m,Đường Bạch Đằng, Phường 2, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,---,2,---,---,5,---
653 triệu,243 m,Đường Nguyễn Thị Búp, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh,_,---,Cần bán,6m,---,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,10m,---,---,"14,3m",14,---
"5,7 tỷ",97 m,Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,_,---,Cần bán,---,---,"Shop, kiot, quán",---,---,10m,---,---,13m,---,---
34 triệu / m,189 m,68 Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất nền, liền kề, đất dự án",---,---,---,---,---,---,---,---
"4,5 tỷ",56 m,Đường Lê Đình Cẩn, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh,Nam,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,14m,4,---
"1,35 tỷ",69 m,Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Hồ Chí Minh,Đông Nam,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,14m,3,---
"7,1 tỷ",75 m,Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Hồ Chí Minh,_,Y,Cần bán,"3,5m",Y,Nhà trong hẻm,---,Y,"4,5m",3,Y,15m,4,---
"3,8 tỷ",100 m,Đường Phạm Hùng, Phường 5, Quận 8, Hồ Chí Minh,_,Y,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,20m,5,---
"4,1 tỷ",140 m,Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh,_,---,Cần bán,8m,---,"Biệt thự, nhà liền kề",---,---,10m,2,---,14m,4,---
"4,2 tỷ",136 m,Đường Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh,_,---,Cần bán,30m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,8m,3,---,17m,5,---
4 tỷ,155 m,Đường Nguyễn Chí Thanh, Phường 12, Quận 5, Hồ Chí Minh,_,Y,Cần bán,16m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,7m,4,Y,22m,5,---
"1,37 tỷ",73 m,Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh,Đông Nam,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,15m,3,---
"1,25 tỷ",63 m,Đường Lâm Văn Bền, Phường Tân Quy, Quận 7, Hồ Chí Minh,Đông Nam,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,13m,3,---
"3,45 tỷ",90 m,Đường Bà Hạt, Phường 9, Quận 10, Hồ Chí Minh,_,Y,Cần bán,8m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,18m,4,---
"3,85 tỷ",90 m,Đường Cô Giang, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh,_,---,Cần bán,20m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,4,---,18m,5,---
"3,15 tỷ",105 m,Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh,_,Y,Cần bán,12m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"5,5m",3,Y,20m,4,---
870 triệu,63 m,Đường Lâm Văn Bền, Phường Tân Quy, Quận 7, Hồ Chí Minh,Đông Nam,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,13m,3,---
"1,69 tỷ",71 m,Đường Hoàng Diệu, Phường 8, Quận 4, Hồ Chí Minh,Đông Nam,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,14m,3,---
"1,3 tỷ",71 m,Đường Quang Trung, Phường 10, Quận Gò Vấp, Hồ Chí Minh,Đông Nam,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,14m,3,---
"3,6 tỷ",100 m,Đường Ngô Gia Tự, Phường 9, Quận 5, Hồ Chí Minh,_,Y,Cần bán,12m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,6m,4,Y,20m,5,---
"3,1 tỷ",90 m,Đường Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, Hồ Chí Minh,_,Y,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,18m,4,---
"6,2 tỷ",200 m,Đường Bắc Hải, Phường 15, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,8m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,15m,1,---,14m,3,---
3 tỷ,100 m,Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh,_,Y,Cần bán,16m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,5,Y,20m,5,---
58 tỷ,2.500 m,Đường số 1A, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,20m,---,"Kho, xưởng",Sổ hồng/ Sổ đỏ,---,30m,1,---,70m,---,---
"3,1 tỷ",90 m,Đường Tuệ Tĩnh, Phường 13, Quận 11, Hồ Chí Minh,_,Y,Cần bán,8m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,18m,4,---
"1,2 tỷ",80 m,Đường Trần Văn Giàu, Xã Lê Minh Xuân, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,20m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,16m,---,---
"17,2 tỷ",92 m,Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh,_,Y,Cần bán,20m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,4m,5,Y,23m,8,---
"6,8 tỷ",68 m,Đường Số 49, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,_,Y,Cần bán,7m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,"15,6m",4,---
"14,7 tỷ",38 m,335/X Đường Võ Văn Tần, Phường 5, Quận 3, Hồ Chí Minh,_,Y,Cần bán,"4,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
"7,8 tỷ",146 m,Đường Hậu Lân, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,1,---,28m,2,---
850 triệu,500 m,Đường Bà Thiên, Xã Nhuận Đức, Huyện Củ Chi, Hồ Chí Minh,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",---,---,81m,1,---,28m,1,---
