Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"1,45 tỷ",80 m,Đường Đoàn Nguyễn Tuấn, Xã Tân Quý Tây, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,10m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,16m,2,---
"1,2 tỷ",47 m,334-336 Lũy Bán Bích Đường Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Hồ Chí Minh,_,Y,Cần bán,---,Y,Căn hộ chung cư,Giấy phép XD,---,---,1,Y,---,2,---
"2,2 tỷ",52 m,Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà mặt tiền,---,---,4m,2,---,13m,2,---
"3,2 tỷ",90 m,Đường Hoa Cúc, Phường 7, Quận Phú Nhuận, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,---,Y,5m,4,Y,18m,4,---
"6,7 tỷ",240 m,Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh,_,Y,Cần bán,9m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"6,4m",3,Y,13m,4,---
"1,76 tỷ",105 m,Đường Hoàng Hữu Nam, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh,_,---,Cần bán,30m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,---,---,---
"3,1 tỷ",120 m,Đường Thành Thái, Phường 10, Quận 10, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,---,Y,6m,4,Y,20m,4,---
980 triệu,74 m,Đường A2, Xã Tân Quý Tây, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,14m,---,---
780 triệu,72 m,Đường Thái Thị Giữ, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,4m,1,---,18m,2,---
"6,45 tỷ",200 m,1565/15 Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh,Đông Nam,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,2m",4,Y,15m,5,---
"3,1 tỷ",240 m,Đường số 7, Phường Thảo Điền, Quận 2, Hồ Chí Minh,_,Y,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,12m,2,Y,20m,5,---
30 tỷ,65 m,Đường Vĩnh Viễn, Phường 3, Quận 10, Hồ Chí Minh,_,---,Cần bán,20m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,2m",5,---,"15,3m",7,---
"3,6 tỷ",56 m,Đường Bùi Thị Xuân, Phường 1, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,---,1,---,---,3,---
"2,5 tỷ",507 m,Đường Gò Me, Xã Hiệp Phước, Huyện Nhà Bè, Hồ Chí Minh,_,---,Cần bán,5m,---,"Đất nông, lâm nghiệp",---,---,36m,---,---,---,---,---
"3,6 tỷ",697 m,Đường Rạch Già, Xã Hiệp Phước, Huyện Nhà Bè, Hồ Chí Minh,Đông,---,Cần bán,5m,---,"Đất nền, liền kề, đất dự án",---,---,18m,---,---,---,---,---
230 tỷ,370 m,Đường Võ Văn Tần, Phường 6, Quận 3, Hồ Chí Minh,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,---,6,---,---,10,---
"2,16 tỷ",50 m,295 Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh,Đông Nam,Y,Cần bán,20m,Y,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,Y,7m,1,Y,"7,5m",2,---
719 triệu,39 m,Đường Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,---,---,Căn hộ chung cư,---,---,---,---,---,---,1,---
65 tỷ,1.200 m,Đường Trần Quốc Toản, Phường 7, Quận 3, Hồ Chí Minh,_,---,Cần bán,30m,---,Nhà trong hẻm,---,---,15m,4,---,30m,6,---
18 tỷ,56 m,319 Đường Vĩnh Viễn, Phường 5, Quận 10, Hồ Chí Minh,_,---,Cần bán,18m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,4m,4,---,14m,5,---
"1,2 tỷ",100 m,Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,_,Y,Cần bán,12m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,1,Y,20m,3,---
"15,2 tỷ",110 m,56 Đường Số 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh,Nam,Y,Cần bán,13m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,4,Y,"21,5m",4,---
820 triệu,72 m,Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh,_,---,Cần bán,6m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,4m,---,---,18m,---,---
34 tỷ,160 m,Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh,_,---,Cần bán,10m,---,Nhà trong hẻm,---,---,---,1,---,---,3,---
41 tỷ,505 m,Đường Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh,_,Y,Cần bán,40m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"6,3m",6,Y,22m,10,---
420 triệu,60 m,Đường Vĩnh Lộc, Xã Lê Minh Xuân, Huyện Bình Chánh, Hồ Chí Minh,_,---,Cần bán,8m,---,"Đất thổ cư, đất ở",---,---,5m,---,---,12m,---,---
"83,5 tỷ",345 m,Đường Ba Vì, Phường 15, Quận 10, Hồ Chí Minh,_,Y,Cần bán,16m,Y,Nhà mặt tiền,---,Y,16m,1,Y,26m,2,---
"11,5 tỷ",56 m,Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,---,2,---,---,4,---
37 tỷ,218 m,Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh,_,---,Cần bán,10m,---,Nhà trong hẻm,---,---,---,4,---,---,8,---
19 tỷ,88 m,Đường Lý Thường Kiệt, Phường 8, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,15m,---,Nhà trong hẻm,---,---,---,4,---,---,6,---
"83,5 tỷ",341 m,Đường Cửu Long, Phường 15, Quận 10, Hồ Chí Minh,_,Y,Cần bán,16m,Y,Nhà mặt tiền,---,Y,"10,5m",1,Y,25m,1,---
20 tỷ,86 m,Đường Trường Sơn, Phường 15, Quận 10, Hồ Chí Minh,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,---,4,---,---,6,---
69 tỷ,324 m,Đường Nguyễn Thái Bình, Phường 12, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,25m,---,Nhà mặt tiền,---,---,---,6,---,---,40,---
"17,5 tỷ",66 m,Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh,_,---,Cần bán,15m,---,Nhà mặt tiền,---,---,---,4,---,---,6,---
"3,58 tỷ",80 m,397 Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,2m",---,---,02m,1,---
"94,8 tỷ",462 m,Đường Trần Nhân Tôn, Phường 2, Quận 10, Hồ Chí Minh,_,---,Cần bán,25m,---,Nhà mặt tiền,---,---,---,1,---,---,6,---
26 tỷ,68 m,Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh,_,---,Cần bán,30m,---,Nhà mặt tiền,---,---,---,6,---,---,10,---
43 tỷ,110 m,Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh,_,---,Cần bán,30m,---,Nhà mặt tiền,---,---,---,5,---,---,10,---
33 tỷ,140 m,Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,15m,---,Nhà trong hẻm,---,---,---,3,---,---,6,---
"4,5 tỷ",100 m,Đường Võ Văn Ngân, Phường Bình Thọ, Thành phố Thủ Đức, Hồ Chí Minh,_,Y,Cần bán,30m,Y,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,Y,8m,30,Y,13m,3,---
"29,5 tỷ",140 m,Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,12m,---,Nhà trong hẻm,---,---,---,4,---,---,6,---
41 tỷ,85 m,Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh,_,---,Cần bán,35m,---,Nhà mặt tiền,---,---,---,3,---,---,6,---
23 tỷ,108 m,Đường Tăng Bạt Hổ, Phường 12, Quận 5, Hồ Chí Minh,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,---,4,---,---,6,---
41 tỷ,86 m,Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh,_,---,Cần bán,25m,---,Nhà mặt tiền,---,---,---,3,---,---,6,---
25 tỷ,88 m,Đường Trần Thiện Chánh, Phường 12, Quận 10, Hồ Chí Minh,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,---,6,---,---,12,---
26 tỷ,72 m,Đường Thành Thái, Phường 13, Quận 10, Hồ Chí Minh,_,---,Cần bán,35m,---,Nhà mặt tiền,---,---,---,4,---,---,6,---
